54b - Razão de mamografia de rastreamento em mulheres de 50 a 69 anos SUS dependentes
Razão ex mamo pop SUS dep  por Município e Ano
Período:2010-2022
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"355380 Taquarituba";0,25;0,30;0,38;0,41;0,43;0,24;0,11;0,34;0,26;0,36;0,16;0,19;0,24;0,28
"355385 Taquarivaí";0,21;0,48;0,54;0,57;0,33;0,49;0,37;0,62;0,30;0,24;0,20;0,19;0,49;0,38
"355390 Tarabai";0,18;0,56;0,67;0,72;0,90;0,56;0,53;0,64;0,31;0,03;0,01;0,12;0,02;0,38
"355395 Tarumã";0,23;0,47;0,47;0,54;0,40;0,32;0,49;0,35;0,39;0,40;0,28;0,21;0,34;0,37
"355400 Tatuí";0,45;0,50;0,48;0,49;0,45;0,36;0,27;0,32;0,24;0,39;0,21;0,28;0,18;0,34
"355410 Taubaté";0,48;0,60;0,60;0,51;0,55;0,55;0,53;0,60;0,58;0,58;0,42;0,42;0,39;0,52
"355420 Tejupá";0,15;0,23;0,31;0,37;0,38;0,21;0,11;0,43;0,40;0,36;0,20;0,28;0,33;0,29
"355430 Teodoro Sampaio";0,11;0,46;0,50;0,57;0,58;0,21;0,50;0,58;0,36;0,46;0,23;0,37;0,35;0,40
"355440 Terra Roxa";0,79;0,48;0,51;0,54;0,60;0,60;0,57;0,58;0,59;0,51;0,53;0,09;0,80;0,55
"355450 Tietê";0,37;0,49;0,57;0,60;0,62;0,57;0,60;0,55;0,42;0,40;0,14;0,31;0,32;0,45
"355460 Timburi";0,11;0,24;0,31;0,30;0,11;0,19;0,44;0,30;0,29;0,23;0,19;0,21;0,35;0,25
"355465 Torre de Pedra";0,25;0,53;0,47;0,25;0,72;0,33;0,34;0,60;0,26;0,24;0,08;0,10;0,37;0,34
"355470 Torrinha";0,30;0,46;0,50;0,41;0,40;0,39;0,38;0,42;0,36;0,27;0,13;0,24;0,16;0,33
"355475 Trabiju";0,12;0,41;0,64;0,52;0,22;0,14;0,61;0,89;0,33;0,58;0,28;0,61;0,66;0,47
"355480 Tremembé";0,12;0,35;0,42;0,37;0,39;0,47;0,49;0,32;0,46;0,31;0,24;0,13;0,43;0,34
"355490 Três Fronteiras";1,12;0,27;1,14;0,21;1,32;0,16;1,27;0,30;0,76;0,15;0,04;0,77;0,15;0,57
"355495 Tuiuti";0,49;0,38;0,44;0,45;0,53;0,60;0,46;0,62;0,52;0,47;0,35;0,36;0,47;0,47
"355500 Tupã";0,31;0,74;0,68;0,79;0,49;0,45;0,53;0,39;0,62;0,48;0,32;0,34;0,52;0,51
"355510 Tupi Paulista";0,68;0,81;1,07;0,93;1,04;0,97;0,75;0,66;0,80;0,69;0,42;0,42;0,15;0,70
"355520 Turiúba";0,16;0,24;1,87;0,10;1,79;0,18;1,74;0,11;1,74;0,11;0,06;1,60;0,09;0,76
"355530 Turmalina";0,47;1,27;0,57;1,27;0,27;1,38;0,23;1,52;0,09;1,32;0,08;0,18;1,23;0,76
"355535 Ubarana";0,29;0,33;0,46;0,42;0,55;0,57;0,61;0,57;0,68;0,84;0,40;0,44;0,52;0,52
"355540 Ubatuba";0,20;0,16;0,18;0,19;0,28;0,27;0,27;0,34;0,21;0,22;0,31;0,17;0,34;0,25
"355550 Ubirajara";0,16;0,34;0,25;0,35;0,45;0,25;0,38;0,23;0,32;0,14;0,12;0,17;0,20;0,25
"355560 Uchoa";0,36;0,38;0,61;0,35;0,67;0,65;0,59;0,58;0,63;0,42;0,46;0,30;0,34;0,48
"355570 União Paulista";0,10;0,28;0,51;0,94;0,37;0,57;0,42;0,33;0,46;0,34;0,29;0,29;0,96;0,45
"355580 Urânia";1,46;0,16;0,88;0,69;0,42;1,17;0,18;1,43;0,16;1,36;0,06;1,13;0,16;0,70
"355590 Uru";0,15;0,22;0,37;0,60;0,51;0,39;0,34;0,40;0,31;0,37;0,15;0,33;0,58;0,37
"355600 Urupês";0,23;0,40;0,41;0,40;0,46;0,29;0,41;0,55;0,56;0,44;0,24;0,53;0,87;0,45
"355610 Valentim Gentil";0,32;0,56;1,41;0,48;1,49;0,64;1,42;0,52;1,20;0,52;0,32;0,91;0,36;0,77
"355620 Valinhos";0,50;0,64;0,61;0,63;0,35;0,01;0,13;0,28;0,38;0,29;0,15;0,11;0,10;0,29
"355630 Valparaíso";0,34;0,41;0,44;1,25;0,32;0,52;0,69;1,51;0,09;1,12;0,09;0,26;0,96;0,62
"355635 Vargem";0,40;0,38;0,51;0,52;0,55;0,43;0,37;0,46;0,45;0,39;0,27;0,41;0,33;0,42
"355640 Vargem Grande do Sul";0,07;0,18;0,32;0,30;0,30;0,23;0,32;0,25;0,45;0,21;0,22;0,29;0,21;0,26
"355645 Vargem Grande Paulista";0,13;0,06;0,18;0,19;0,38;0,34;0,35;0,38;0,36;0,51;0,27;0,31;0,42;0,32
"355650 Várzea Paulista";0,81;0,66;0,60;0,61;0,49;0,44;0,64;0,41;0,59;0,40;0,27;0,25;0,23;0,46
"355660 Vera Cruz";0,17;0,52;0,44;0,32;0,52;0,33;0,24;0,51;0,33;0,45;0,19;0,42;0,43;0,37
"355670 Vinhedo";0,18;0,91;0,89;0,96;0,57;0,02;0,02;0,26;0,48;0,26;0,10;0,40;0,53;0,40
"355680 Viradouro";0,93;0,58;0,81;0,95;0,62;0,78;0,75;0,72;0,63;0,54;0,04;0,15;0,69;0,61
"355690 Vista Alegre do Alto";0,40;0,41;0,58;0,74;0,64;0,74;0,64;0,85;0,56;0,60;0,54;0,06;0,82;0,58
"355695 Vitória Brasil";0,66;1,48;0,34;1,52;0,12;1,56;0,21;1,57;0,11;1,65;0,02;1,29;0,15;0,82
"355700 Votorantim";0,27;0,44;0,44;0,41;0,50;0,35;0,44;0,31;0,36;0,39;0,27;0,32;0,47;0,38
"355710 Votuporanga";1,13;0,66;1,02;0,52;0,82;0,83;0,84;0,89;0,83;0,59;0,50;0,78;0,38;0,74
"355715 Zacarias";0,44;0,34;0,40;0,39;0,70;0,49;0,47;0,58;0,47;0,48;0,33;0,34;0,41;0,45
"350000 Município ignorado - SP";...;...;...;...;...;...;...;...;...;...;...;...;...;...
"Total";0,42;0,50;0,51;0,52;0,55;0,51;0,50;0,50;0,47;0,47;0,29;0,35;0,44;0,46
 Fonte:
 Qtde Apresentada: Sistema de Informações Ambulatoriais do SUS - SIA-SUS/DATASUS/MS 
 População: Estimativas - Fundação SEADE.
 Beneficiários: ANS - Agência Nacional de Saúde (último mês disponível de cada ano).
 Nota:
 
 1.Razão de exames de mamografias de rastreamento: N.º de exames de mamografia de rastreamento em mulheres na faixa etária de 50 a 69 anos, sobre 1/2 da população feminina na faixa etária de 50 a 69  anos.
 2.Procedimento selecionado: Exame de mamografia de rastreamento (02.04.03.018-8). 
 3.População Feminina Exclusiva SUS - cálculo com base no percentual de Beneficiários de Saúde Suplementar do mês de Dezembro de cada ano.
 4.Observação: quantidade apresentada.
 5.Populaçao 2011 a 2023 recalculada considerando as estatísticas vitais e o Censo de 2022.
 Atualizado em 14/05/2024. 
